"name","price","chipset","memory","core_clock","boost_clock","color","length"
"PNY VCGGTX10502PB",239," GTX 1050",2,1354,1455,"Black",178
"Gigabyte GAMING OC 3X",845," RTX 2070 SUPER",8,1605,1815,"Black",286
"Asus ROG STRIX GAMING OC V2",714.99," RTX 3060 Ti LHR",8,1410,1890,"Black / Silver",318
"Asus DUAL OC",359.99," RTX 3060 8GB",8,1320,1867,"Black",200
"PNY XLR8 Gaming REVEL EPIC-X RGB",499," RTX 3070 LHR",8,1500,1725,"Silver / Black",294
"Asus DUAL OC V2",599.99," RTX 3060 Ti LHR",8,1410,1740,"Black / Silver",269
"Sparkle ROC Luna OC",239.99,"Arc A750",8,2050,2200,"White",281
"PowerColor Red Devil",849.99," RX 7900 XT",20,2000,2535,"Black",338
"MSI Radeon RX 6600 XT MECH 2X 8G OCV1",399," RX 6600 XT",8,1968,2602,"Black / Silver",215
"MSI GAMING X TRIO 8GD6X",571," RTX 3060 Ti",8,1410,1845,"Black",323
"EVGA Gaming iCX",999.99," GTX 1080 Ti",11,1569,1683,"Silver",300
"Asus TUF GAMING OC",999," RTX 3080 12GB LHR",12,1260,1815,"Black / Silver",300
"Sapphire NITRO+ SE",1298.47," RX 6900 XT",16,1825,2365,"Black / White",310
"Gigabyte WINDFORCE OC",299.99," GTX 1650 SUPER",4,1530,1755,"Black / Silver",225
"Zotac GAMING Trinity OC",1289.9," RTX 4080",16,2205,2520,"Black",356
"Asus TUF GAMING OC",315.02," GTX 1650 G6",4,1410,1680,"Black",204
"MSI AERO ITX OC",209.99," RTX 3050 8GB",8,1550,NA,"Black / Silver",172
"Asus DUAL",579.68," RTX 4070",12,2475,2505,"White",267
"Gigabyte GAMING OC",261.25," RX 6500 XT",4,2310,2825,"Black / Gray",282
"XFX Speedster QICK 308 Black",649.99," RX 6600 XT",8,2188,2607,"Black",274
"PNY VERTO",1127.99," RTX 4080",16,2205,2505,"Black",332
"Asus DUAL OC",279.99," RX 7600",8,1720,2745,"Black",245
"Asus TUF GAMING",320.56," GTX 1650 SUPER",4,1530,1755,"Black",206
"PowerColor Hellhound Sakura OC Limited",629.99," RX 7800 XT",16,1295,2520,"White / Pink",322
"Gigabyte AORUS ELITE",543.68," RX 6750 XT",12,2150,2623,"Black / Gray",296
"Inno3D Twin X2 OC",565.98," RTX 4060 Ti",16,2310,2595,"White / Silver",250
"Palit Dual OC",348.92," RTX 3060 12GB",12,1320,NA,"Black",245
"Zotac GAMING OC",286," GTX 1650 G6",4,1410,1620,"Black / Gray",151
"Asus ROG STRIX GAMING",1559.99," RTX 4080",16,2205,2535,"Black",358
"Gigabyte AORUS MASTER",1283.33," RTX 3080 10GB",10,1440,NA,"Black",319
"EVGA SSC ACX 2.0+",399," GTX 960",4,1279,1342,"Black / Silver",257
"EVGA Founders Edition",499," GTX 1080 Ti",11,1480,1582,"Black / Silver",267
"MSI GTX 1070 TI TITANIUM 8G",499," GTX 1070 Ti",8,1607,1683,"Black / Silver",279
"Asus ROG STRIX",327.55," RX 570",4,1168,1310,"Black",240
"Gigabyte AORUS ELITE",653.78," RTX 4060",8,1830,NA,"Black / Silver",299
"EVGA XC GAMING",599," RTX 2070 SUPER",8,1605,1800,"Transparent",270
"Zotac GAMING Twin Fan",339.99," GTX 1650 SUPER",4,1530,1725,"Black",158
"MSI GAMING",319.99," RTX 4060",8,1830,2475,"Black",247
"Zotac GAMING Trinity",800.08," RTX 4070 Ti",12,2310,2610,"Black",307
"Zotac GAMING Twin Edge OC",399.99," RTX 3050 8GB",8,1550,1807,"Black / Silver",224
"Gigabyte AORUS MASTER",1126.95," RTX 3080 Ti",12,1365,1770,"Black",320
"EVGA XC ULTRA GAMING",1079," RTX 2080 Ti",11,1350,1650,"Black / Clear",270
"EVGA FTW3 GAMING",1539.95," RTX 3090 Ti",24,1560,1890,"Black",300
"Asus DUAL",424.99," RX 6650 XT",8,2055,2689,"Black / Silver",243
"Asus Turbo",599," GTX 1080 Ti",11,1480,1582,"Black / White",267
"Asus ROG STRIX GAMING OC",699," RX 6700 XT",12,2321,NA,"Black / Silver",322
"PowerColor Red Devil",475.48," RX 6600 XT",8,1968,2607,"Black",251
"PowerColor Hellhound",259.99," RX 7600",8,1720,2655,"Black",234
"MAXSUN iCraft Limited Edition OC",949.99," RTX 4070 Ti",12,2310,2385,"White",336
"MSI AERO",393.04," RTX 2080",8,1350,1710,"Black / Green",268
"Asus Turbo",379.99," GTX 1060 6GB",6,1506,1708,"Black",267
"Asus STRIX GAMING OC",449," RX 5600 XT",6,1247,1770,"Black",304
"Zotac GAMING AMP Spider-Man: Across the Spider-Verse",748," RTX 4060 Ti",16,2310,2595,"Black",226
"Asus ROG STRIX GAMING OC",449.99," RX 6600 XT",8,1968,2607,"Black / Gray",243
"MSI ARMOR OCV1",394," GTX 1060 6GB",6,1544,1759,"Black / White",275
"PowerColor Red Devil OC",599.99," RX 7900 GRE",16,1270,2391,"Black / Red",345
"EVGA XC BLACK GAMING",442.78," RTX 3060 12GB",12,1320,1777,"Black",202
"MSI ARMOR OC",598," GTX 1080",8,1657,1797,"Black / White",279
"MSI GAMING Z TRIO",1998," RTX 3080 12GB LHR",12,1260,1815,"Black / Gray",323
"MSI VENTUS 3X PLUS OC",1199," RTX 3080 12GB LHR",12,1260,1740,"Black / Gray",305
"Gigabyte EAGLE OC",999.99," RTX 3080 10GB",10,1440,1755,"Black",320
"Gigabyte WINDFORCE OC",449.99," GTX 1650 G5",4,1485,1710,"Black / Silver",191
"Sparkle ROC OC",299.99,"Arc A770",16,2100,2300,"Black",281
"Palit JetStream OC",571.42," RTX 4060 Ti",16,2310,2595,"Black",250
"Gigabyte AORUS ELITE",1114.99," RTX 4070 Ti",12,2310,2655,"Black",342
"EVGA KO GAMING",297.5," RTX 2060",6,1365,1680,"Gray / Black",202
"Gigabyte GV-N105TD5-4GD",269.99," GTX 1050 Ti",4,1290,1430,"Black / Orange",172
"PNY Blower",699," RTX 2080 Ti",11,1350,1545,"Black",267
"PNY VCG16504D6DFPPB",189.99," GTX 1650 G6",4,1485,1590,"Black",170
"Asus TURBO-GTX1070-8G",379," GTX 1070",8,1506,1683,"Black / Silver",267
"Gigabyte EAGLE",1149," RTX 4080",16,2205,2505,"Black",342
"EVGA Black",1499.99," RTX 2080 Ti",11,1350,1545,"Black / Clear",270
"XFX Speedster MERC 319 Black",1014," RX 6700 XT",12,2321,2622,"Black",323
"ASRock Phantom Gaming OC",259.99," RX 7600",8,1720,2755,"Black",305
"Zotac GAMING AMP Holo",1449.99," RTX 3080 Ti",12,1365,1710,"Black / Silver",318
"PowerColor Red Dragon OC",556.04," RX 6800",16,1700,2170,"Black",310
"MSI AERO",499," GTX 1070 Ti",8,1607,1683,"Black / White",269
"Gigabyte AORUS XTREME WATERFORCE",1799," RTX 3090 Ti",24,1560,1935,"Black",238
"Palit JetStream",557.12," RTX 4060 Ti",16,2310,2535,"Black",250
"EVGA SC ULTRA GAMING",499.99," GTX 1660 Ti",6,1500,1845,"Black / Silver",202
"Gigabyte EAGLE",587.49," RX 6600 XT",8,1968,2589,"Black / Silver",282
"PowerColor Hellhound",249," RX 6600",8,1626,2491,"Black / White",220
"Asus TUF GAMING OC",1399.99," RX 6900 XT",16,1825,2340,"Black",320
"MSI GeForce RTX 3070 Ventus 3X 8G OC LHR",499.99," RTX 3070 LHR",8,1500,1755,"Black",305
"Gigabyte GAMING",469.99," RX 570",4,1168,1255,"Black / Orange",232
"Asus TUF GAMING OC",1799.95," RTX 3090 Ti",24,1560,1950,"Black",326
"Asus ROG STRIX GAMING",1669," RTX 4080",16,2205,2535,"White",358
"Gigabyte WINDFORCE OC",287.14," RTX 3050 8GB",8,1550,1792,"Black / Silver",244
"Palit Dual",664.78," RTX 4070",12,1920,2475,"Black",269
"Asus DUAL EVO",489," RTX 2060 12GB",12,1470,1680,"Black",242
"Asus DUAL OC",889," RTX 2080 Ti",11,1350,NA,"Black",268
"Gigabyte GAMING OC Rev 2.0",909.08," RTX 3080 10GB LHR",10,1440,1800,"Black / Gray",320
"Asus Turbo",579," GTX 1080",8,1607,1733,"Black / Silver",267
"Asus Phoenix",349.9," RTX 3060 12GB",12,1320,1807,"Black",177
"EVGA FTW3 ULTRA GAMING",1029," RTX 2070 SUPER",8,1605,1815,"Transparent",302
"Zotac GAMING Trinity",639.99," RTX 3070 Ti",8,1575,1770,"Black / Silver",318
"PNY XLR8 Gaming EPIC-X RGB",1549," RTX 3090",24,1395,1695,"Black",294
"Gigabyte AORUS MASTER Rev 2.0",679," RTX 3070 LHR",8,1500,1845,"Black",290
"EVGA XC3 ULTRA GAMING iCX3",471.63," RTX 3070 LHR",8,1500,1770,"Black",285
"EVGA XC GAMING",599," RTX 2070",8,1410,1710,"Clear / Black",269
"Asus TUF GAMING",1299.95," RTX 3080 Ti",12,1365,1695,"Black",300
"Inno3D Twin X2 OC",381.87," RTX 4060",8,1830,2490,"White / Silver",250
"Asus KO Gaming OC",659," RTX 3070",8,1500,1845,"Black / Silver",275
"Zotac GAMING AMP Holo",1849," RTX 3080 10GB",10,1440,1770,"Black",318
"EVGA FTW3 ULTRA GAMING iCX3",664.98," RTX 3070 LHR",8,1500,1815,"Black",300
"EVGA XC3 BLACK GAMING",719.99," RTX 3070",8,1500,1725,"Black / Silver",285
"Asus ROG STRIX WHITE OC V2",1699," RTX 3080 10GB LHR",10,1440,1935,"White",318
"MSI VENTUS",749," RTX 2080",8,1515,1710,"Silver / Black",268
"PowerColor Hellhound Spectral",1323," RX 6700 XT",12,2321,2581,"White",305
"EVGA XC GAMING",417.3," RTX 2060",12,1365,1680,"Black",268
"EVGA SC ULTRA GAMING",249.99," GTX 1650 G5",4,1485,1860,"Black",202
"XFX RX-560D2SFG5",109.99," RX 560 - 896",2,1196,NA,"Black / Red",211
"Asus STRIX-GTX960-DC2OC-2GD5",199.99," GTX 960",2,1228,1291,"Black",215
"MSI GeForce RTX 3070 VENTUS 3X",692.78," RTX 3070",8,1500,1725,"Black / Silver",305
"MSI GAMING X",1015.99," RX 6700 XT",12,2321,NA,"Black / Silver",279
"Asus STRIX GAMING OC",445," RTX 2080",8,1515,1890,"",298
"Gigabyte EAGLE OC",418.11," RTX 3050 8GB",8,1550,1792,"Black",213
"MSI DUKE OC",679," GTX 1080 Ti",11,1531,1645,"Black",320
"EVGA SSC ACX 2.0+",359," GTX 970",4,1190,1342,"Black / Blue",257
"Asus ProArt",808.31," RTX 4070 Ti",12,2310,2640,"Black",300
"Inno3D Twin X2 OC",579.29," RTX 4060 Ti",16,2310,2595,"Black / Silver",250
"Zotac GAMING Trinity OC",1329," RTX 4080",16,2205,2520,"White",356
"MSI VENTUS OC",339.6," RTX 2060",6,1365,1710,"Silver / Black",226
"Zotac GAMING Twin Edge OC Spider-Man: Across the Spider-Verse",699.99," RTX 4070",12,1920,2490,"Black / Gray",226
"Asus TUF GAMING OC V2",610," RTX 3060 Ti LHR",8,1410,1785,"Black",301
"Sapphire NITRO+",1299.99," RX 6900 XT",16,1825,2285,"Black / Silver",310
"Gigabyte GAMING OC Rev 2.0",549," RTX 3060 Ti LHR",8,1410,1740,"Black",282
"Gigabyte AORUS ELITE",584.7," RTX 4060 Ti",8,2310,NA,"Black",301
"MSI GAMING X",389," GTX 1650 G5",4,1485,1860,"Black",245
"Asus Phoenix OC",282.61," GTX 1650 G5",4,1485,1710,"Black",190
"PowerColor Red Devil Ultimate",1499.99," RX 6900 XT",16,1825,2425,"Black",320
"XFX GTS",219.99," RX 580",8,1257,1405,"Black / Red",270
"MSI VENTUS XS OC",549.99," RTX 2060",6,1365,1710,"Silver / Black",205
"Palit JetStream",871.45," RTX 4070 Ti",12,2310,2610,"Black",329
"Asus TUF GAMING OC V2",599," RTX 3070 LHR",8,1500,1845,"Black",300
"Zotac GAMING Trinity OC",1372," RTX 3080 12GB LHR",12,1260,1725,"Black",318
"MSI GAMING",555," GTX 1060 6GB",6,1506,1746,"Black / Red",277
"Gigabyte GAMING OC",1720.23," RX 6900 XT",16,1825,2285,"Black / Silver",286
"PNY XLR8 Gaming REVEL EPIC-X RGB",321.8," RTX 3050 8GB",8,1552,1777,"Black / Red",247
"MSI VENTUS 3X",1299," RTX 4080",16,2205,2520,"Black",322
"Asus Turbo",1289," RTX 2080 Ti",11,1350,NA,"Black",269
"Gigabyte WINDFORCE",1149.99," RTX 4080",16,2205,2505,"Black / Silver",330
"PNY XLR8 Gaming VERTO OC",449.99," RTX 4060 Ti",16,2310,2550,"Black",245
"MSI VENTUS 3X PLUS OC",899," RTX 3080 10GB LHR",10,1440,1740,"Black",305
"Gigabyte GV-N105TOC-4GD",408.99," GTX 1050 Ti",4,1341,1455,"Black / Orange",191
"Zotac GAMING Twin Edge OC Spider-Man: Across the Spider-Verse",509.06," RTX 4060 Ti",8,2310,2550,"Black",226
"Gigabyte GAMING OC",1725," RTX 3090 Ti",24,1560,1905,"Black",331
"Gigabyte AORUS MASTER",1658.48," RTX 4080",16,2205,2550,"Black",357
"Sapphire NITRO+",776.95," RX 6800",16,1700,NA,"Black / Silver",310
"Asus DUAL OC",840," RTX 3060 Ti",8,1410,1740,"Black / Silver",269
"XFX Speedster SWFT 319",769.99," RX 6900 XT",16,1825,2250,"Black",340
"Zotac AMP",4299.46," GTX 1080 Ti",11,1569,1683,"Black",300
"Palit Dual",478.55," RTX 4060 Ti",8,2310,2535,"Black",250
"Gigabyte AORUS ELITE Rev 2.0",492," RTX 3060 Ti LHR",8,1410,1785,"Black",296
"EVGA FTW3 ULTRA GAMING",1289," RTX 2080 SUPER",8,1650,1845,"Transparent / Black",302
"MSI GAMING X TRIO",539," RTX 3060 Ti",8,1410,1830,"Black / Silver",323
"PNY XLR8 Gaming REVEL EPIC-X RGB Dual Fan",449.73," RTX 3060 12GB",12,1320,NA,"Black",247
"MSI Radeon RX 6800 GAMING X TRIO 16G",1115.48," RX 6800",16,1700,2155,"Black / Silver",324
"MSI DUKE",499," GTX 1070 Ti",8,1607,1683,"Black",312
"Gigabyte GAMING OC",1239.9," RTX 3080 12GB LHR",12,1260,1755,"Black / Silver",320
"Asus Turbo EVO",595," RTX 2060 SUPER",8,1500,1680,"Black",268
"ASRock Taichi X OC",789," RX 6800 XT",16,1825,NA,"Black",330
"Asus KO GAMING OC V2",659," RTX 3060 Ti LHR",8,1410,1785,"Silver / Black",275
"Asus KO OC",399," RTX 3060 Ti",8,1410,1785,"Black / Silver",275
"Asus TUF GAMING OC",377.9," RTX 3050 8GB",8,1550,1875,"Black",272
"MSI D6 GAMING X",234.29," GTX 1650 G6",4,1410,1710,"Black",245
"Zotac GAMING Trinity OC",1349.99," RTX 3080 10GB LHR",10,1440,1725,"Gray",318
"Gainward NE6306T019P2-190AB",495," RTX 3060 Ti LHR",8,1410,1665,"Black",247
"MSI GAMING SLIM MLG",649.99," RTX 4070 SUPER",12,1980,2490,"Black / Red",307
"Gigabyte AORUS MASTER",1790," RTX 3090",24,1395,1785,"Black",319
"MSI ARMOR OC",489," RX 570",8,1168,1268,"Black / White",246
"Gigabyte GAMING OC PRO",476," RX 6600 XT",8,1968,2607,"Black / Silver",282
"Gigabyte AORUS MASTER",1899," RX 6800 XT",16,1825,2310,"Black",324
"Sapphire TOXIC Limited Edition",1138.63," RX 6900 XT",16,1825,2600,"Black",270
"EVGA FTW2 GAMING iCX",699," GTX 1070 Ti",8,1607,1683,"Black / Silver",267
"Zotac AMP Extreme",549," GTX 1070 Ti",8,1607,1683,"Black / Yellow",325
"Gigabyte AORUS XTREME WATERFORCE",1879," RTX 3080 10GB",10,1440,1845,"Black / Silver",252
"Inno3D Twin X2 OC",368.55," RTX 4060",8,1830,2490,"Black / Silver",250
"Zotac GAMING Twin Edge OC",569.99," RTX 3070 LHR",8,1500,1755,"Black",232
"XFX Black Edition",249.95," RX 580",8,1405,1425,"Black / White",279
"EVGA SC2 Gaming iCX",426," GTX 1070",8,1594,1784,"White / Black",267
"Gigabyte GAMING OC PRO Rev 3.0",598.76," RTX 3060 Ti LHR",8,1410,1770,"Black",281
"Zotac GAMING AMP Extreme AIRO",1449.9," RTX 4080",16,2205,2565,"Black",356
"Gigabyte AORUS MASTER",1445.06," RTX 4070 Ti",12,2310,2670,"Black",342
"Inno3D X3 OC",1088.11," RTX 4070",12,1920,2505,"Black / Silver",297
"Gigabyte OC",249.99," GTX 1050",2,1379,1518,"Black / Orange",191
"Asus TUF GAMING OC",799.99," RTX 3060 Ti",8,1410,1785,"Black",301
"EVGA FTW3 ULTRA HYBRID GAMING iCX3",1470," RTX 3080 Ti",12,1365,1800,"Black",300
"EVGA SSC GAMING",349.99," GTX 1060 3GB",3,1607,1835,"Black / Silver",267
"MSI Radeon RX 6900 XT GAMING Z TRIO 16G",1130.22," RX 6900 XT",16,1825,2425,"Silver / Black",324
"XFX Speedster MERC 308 Black",425.99," RX 6600 XT",8,2188,2607,"Black",274
"Gigabyte EAGLE OC Rev 2.0",563.29," RTX 3070 LHR",8,1500,1770,"Black",282
"Asus ROG STRIX GAMING OC V2",629," RTX 3070 LHR",8,1500,1935,"Black / Silver",318
"Asus ROG-STRIX-LC-RX6900XT-T16G-GAMING",1929.82," RX 6900 XT",16,1825,2525,"Black / Silver",277
"EVGA ACX 3.0",598," GTX 1080",8,1607,1733,"Black / Silver",267
"Gigabyte AORUS MASTER",1449.99," RTX 3080 12GB LHR",12,1260,1830,"Black",319
"MSI GAMING X TRIO",699," GTX 1080 Ti",11,1569,1683,"",325
"EVGA XC3 ULTRA GAMING",1120," RTX 3080 12GB LHR",12,1260,1755,"Black",285
"EVGA FTW ULTRA SILENT GAMING",699," GTX 1070 Ti",8,1607,1683,"Black / Silver",267
"MSI GAMING",559.99," RTX 2060",6,1365,1680,"Silver / Black",247
"Sapphire Toxic Extreme Edition",1777.72," RX 6900 XT",16,1825,2525,"Black",270
"XFX Speedster MERC 319 Ultra",1799.99," RX 6900 XT",16,1925,2340,"Black",340
"Palit Dual OC",490.42," RTX 4060 Ti",8,2310,2685,"Black",250
"EVGA GAMING",699," GTX 1070 Ti",8,1607,1683,"Silver / Black",267
"Asus DUAL",334.99," RTX 3060 8GB",8,1320,1807,"Black",200
"Asus LP BRK OC",199.99," RTX 3050 6GB",6,1040,1537,"Black",182
"EVGA FTW3 BLACK GAMING",1599.95," RTX 3090 Ti",24,1560,1860,"Black",300
"Asus KO GAMING OC V2",530.79," RTX 3070 LHR",8,1500,1845,"Black / Silver",275
"Asus ROG STRIX GAMING OC",449.99," RX 6650 XT",8,2055,2694,"Black / Gray",281
"Asus DUAL MINI OC",238," GTX 1650 G6",4,1410,1650,"Black",200
"PowerColor AXRX 560 4GBD5-DHA",345," RX 560 - 896",4,115,1176,"Black",225
"PNY XLR8 Gaming VERTO EPIC-X RGB OC",329.99," RTX 4060",8,1830,2505,"Black",260
"Asus ROG STRIX LC GAMING OC",1579.95," RTX 3080 Ti",12,1365,1860,"Black / Silver",293
"Asus ROG STRIX OC",427.74," RX 7600",8,1720,2755,"Black / Silver",281
"Asus STRIX GAMING Advanced",455," GTX 1660 Ti",6,1500,1830,"Black",301
"XFX GTS",272.97," RX 580",8,1405,1425,"Black / Red",270
"Gigabyte EAGLE",595.07," RTX 3050 8GB",8,1550,1777,"Black",213
"Sapphire NITRO+",520," RX 6650 XT",8,2055,2694,"Silver / Black",260
"Asus STRIX GAMING",999," RTX 2080 Ti",11,1350,1560,"Black",305
"EVGA XC HYBRID GAMING",1987.98," RTX 2080 Ti",11,1350,1635,"Black / Clear",269
"Gigabyte AORUS XTREME",1649," RTX 3080 Ti",12,1365,1770,"Black",320
"MSI ARMOR OC",399," GTX 1060 6GB",6,1506,1708,"Black / White",279
"EVGA GAMING",585," GTX 1070",8,1506,1683,"Black / Gray",267
"MSI VENTUS 3X 8GD6X OC",599," RTX 3060 Ti",8,1410,1695,"Black",305
"Asus Turbo",719.57," RTX 4070",12,1920,2475,"Black",269
"MSI DUKE OC",499," GTX 1080",8,1708,1847,"Black / Beige",312
"Palit Dual OC",670.43," RTX 4070",12,1920,2550,"Black",269
"MSI VENTUS 3X OC LHR",999," RTX 3080 10GB LHR",10,1440,1740,"Black",305
"Asus KO OC V2",609.18," RTX 3060 12GB",12,1320,1882,"Black / Silver",275
"XFX Speedster QICK 319 BLACK",484.9," RX 6800",16,1850,2190,"Black",340
"XFX RX-68XTACBD9",880.99," RX 6800 XT",16,1925,2360,"Black",340
"Asus TUF GAMING OC P",239.99," GTX 1650 G6",4,1410,1785,"Black",206
"XFX RX-79GMERCBR",569.99," RX 7900 GRE",16,1270,2395,"Black",335
"EVGA Black",799.9," RTX 2080",8,1515,1710,"Clear / Black",269
"PNY VCGGTX10808PB",665.54," GTX 1080",8,1607,1733,"Black / Red",267
"Palit StormX",1289," RTX 2060",6,1365,1680,"Black",168
"Sparkle ROC OC",209.99,"Arc A750",8,2050,2200,"Black",281
"PowerColor AXRX 580 8GBD5-3DHDV2/OC",407.95," RX 580",8,1257,1350,"Black",255
"EVGA XC HYBRID GAMING",899.95," RTX 2080 SUPER",8,1650,1830,"Transparent / Black",266
"EVGA FTW DT GAMING",679," GTX 1080",8,1607,1733,"Black / Gray",267
"EVGA SC ULTRA GAMING",227.7," GTX 1650 G6",4,1410,1710,"Black",202
"Gigabyte AORUS XTREME WATERFORCE",1998," RTX 3080 12GB LHR",12,1260,1830,"Black",252
"Asus STRIX GAMING Advanced",979," RTX 2080 Ti",11,1350,NA,"Black",305
"XFX Black Edition",537," RX 570",8,1168,1328,"Black / Red",243
"MSI DUKE",675," RTX 2070",8,1410,1755,"Silver / Black",314
"XFX RX-580P427D6",489," RX 580",4,1366,1386,"Black / Red",270
"EVGA Founders Edition",598," GTX 1080",8,1607,1733,"Black / Silver",267
"Asus Founders Edition",3364.51," GTX 1080 Ti",11,1480,1582,"Black / Silver",267
"MSI GeForce RTX 3070 Suprim X 8G LHR",799," RTX 3070 LHR",8,1500,1920,"Black / Silver",335
"EVGA GAMING",679," GTX 1080 Ti",11,1480,1582,"Black / Silver",267
"XFX Speedster QICK 319 Core",1019," RX 6700 XT",12,2321,2581,"Black",323
"PowerColor Red Devil",492.58," RX 570",4,1168,1320,"Black / Red",310
"EVGA XC BLACK GAMING",319," GTX 1660 Ti",6,1500,1770,"",190
"Matrox LUMA",659,"Arc A380",6,2000,NA,"Black",254
"EVGA GAMING",399," GTX 1060 6GB",6,1506,1708,"Black / Silver",267
"XFX Speedster MERC 319 Limited",769.99," RX 6900 XT",16,1825,2495,"Black",340
"EVGA XC3 ULTRA HYBRID GAMING",1245.25," RTX 3080 12GB LHR",12,1260,1755,"Black",263
"Palit GamingPro OC",717.88," RTX 4070",12,1920,2595,"Black / Silver",329
"EVGA FTW2 GAMING iCX",579," GTX 1070",8,1607,1797,"Black / Gray",267
"Zotac AMP Extreme Holo",2273.71," RTX 3080 Ti",12,1365,1785,"Black",356
"PNY Founders Edition",3135.02," GTX 1080 Ti",11,1480,1582,"Black / Silver",267
"Asus Turbo",499," RTX 2060",6,1365,1710,"Black / Silver",268
"EVGA XC BLACK GAMING",449," RTX 3050 8GB",8,1550,1777,"Black",202
"Asus TUF GAMING V2",619.9," RTX 3060 Ti LHR",8,1410,1695,"Black",301
"Gigabyte AORUS MASTER Rev 2.0",1185," RTX 3080 10GB LHR",10,1440,1845,"Black",319
"Inno3D Twin X2 OC",669.29," RTX 4070",12,1920,2505,"Black / Silver",250
"Asus STRIX GAMING Advanced",575," RTX 2070",8,1410,1680,"Black",300
"MSI D6 AERO ITX OC",188.06," GTX 1650 G6",4,1410,1620,"Black / White",170
"XFX Speedster MERC 319",2002.49," RX 6900 XT",16,1825,2365,"Black",340
"Inno3D iChill X3",799.74," RTX 4070 Ti",12,2310,2670,"Black",334
"EVGA FTW3 GAMING",1079," RTX 2080 Ti",11,1350,1545,"",302
"Asus STRIX GAMING OC",500.97," GTX 1650 G5",4,1485,1860,"Black",242
"Sapphire TOXIC Limited Edition",1334.93," RX 6900 XT",16,1825,2600,"Black",270
"Asus Founders Edition",559," GTX 1080",8,1607,1733,"Black / Silver",267
"Gigabyte EAGLE OC",1595," RTX 3090",24,1395,1725,"Black",320
"Gigabyte GAMING OC",2742.76," RTX 2070",8,1620,1740,"Black / Gray",280
"Zotac GAMING Trinity",1989.99," RTX 3080 Ti",12,1365,1665,"Black / Silver",318
"EVGA FTW+ GAMING",399," GTX 1060 3GB",3,1632,1860,"Black",267
"Gigabyte AORUS MASTER",1015.48," RX 6800",16,1700,2190,"Black",324
"Asus Phoenix OC",209.99," GTX 1650 G6",4,1410,1665,"Black",174
"EVGA SC2 Gaming iCX",598," GTX 1080",8,1708,1847,"White / Black",267
"MSI SEA HAWK X",855," RTX 2080",8,1515,1860,"Black / Silver",268
"Gigabyte OC",279.99," RX 5500 XT",4,1647,1845,"Black / Gray",225
"MSI Founders Edition",679," GTX 1080 Ti",11,1480,1582,"Black / Silver",267
"Asus DUAL",700," RTX 2060",6,1365,1680,"Black / Silver",270
"PNY XLR8 Gaming Overclocked Edition",1989," RTX 2080 Ti",11,1350,1635,"Black / Silver",302
"EVGA FTW ACX 2.0+",319," GTX 960",2,1304,1367,"Black / White",256
"Zotac GAMING AMP Core Holo",1599," RTX 3090",24,1395,1755,"Black",328
"EVGA DT GAMING",699," GTX 1080 Ti",11,1480,1582,"Silver / Black",300
"MSI VENTUS 2X V1",499," RTX 3060 Ti LHR",8,1410,1665,"Black / Gray",235
"Asus DUAL V2",885.93," RTX 3070 LHR",8,1500,1755,"Black / Silver",267
"PowerColor Red Devil Limited Edition",1999.99," RX 6900 XT",16,1825,2340,"Black",320
"Asus Phoenix EVO OC",169.99," GTX 1650 G6",4,1410,1635,"Black",197
"MSI VENTUS 3X OC",999," RTX 3080 10GB LHR",10,1440,1740,"Black",305
"Gainward Phoenix",1729.9," RTX 4070 Ti",12,2310,2610,"Black",329
"Inno3D N30602-08D6-11902130",460.26," RTX 3050 8GB",8,1320,1777,"Black",240
"EVGA 04G-P4-1976-KR",599," GTX 970",4,1140,1279,"Black / Silver",242
