#,GPU,Rating,Gaming,Render,TFLOPS (FP32),Geekbench OpenCL,3DMark Time Spy
1,RTX 5090,97,100,93,104.8,419309,47384
2,RTX 4090,95,99,91,82.6,316301,36324
4,RTX 5080,92,96,86,56.3,297747,33117
6,RTX 4080 SUPER,83,84,77,52.2,250691,28305
7,RX 7900 XTX,80,83,77,61.4,224686,30583
8,RTX 5070 Ti,79,80,74,43.9,240508,27604
9,RTX 4080,79,81,72,48.7,217712,28172
10,RTX 4070 Ti SUPER,74,74,72,44.1,237068,24224
11,RTX 3090 Ti,72,69,71,40,232083,21839
13,RX 7900 XT,71,72,71,51.5,203754,26909
14,RTX 4070 Ti,69,69,66,40.1,219163,22767
15,RTX 3090,68,63,69,35.6,211669,19899
16,RTX 3080 Ti,66,61,64,34.1,196756,19629
17,RX 9070 XT,65,71,64,48.7,182816,30320
18,RTX 4070 SUPER,64,64,63,35.5,206598,20903
19,RTX 5070,63,64,62,30.9,190967,22646
20,RX 7900 GRE,62,64,61,46,172224,22500
21,RTX 3080,59,54,57,29.8,161903,17662
22,RX 6950 XT,57,56,60,23.7,189857,21546
23,RX 7800 XT,55,55,56,37.3,148335,20097
24,RTX 4070,55,55,55,29.1,167522,17827
25,RX 9070,54,57,55,29.7,149949,27043
28,RX 6900 XT,50,52,49,23,124121,20777
29,RTX 2080 Ti,50,41,49,13.4,144745,14660
30,RX 7700 XT,49,49,50,35.2,132843,17101
31,RX 6800 XT,48,48,50,20.7,138858,19336
32,RTX 3070 Ti,48,45,49,21.7,136096,14873
33,Arc A770,47,39,44,19.7,113935,13560
34,RTX 4060 Ti 16GB,45,44,47,22.1,135837,13471
35,RTX 3070,45,42,45,20.3,126195,13641
36,RX 6800,44,42,48,16.2,135060,16189
37,RTX 4060 Ti 8GB,44,43,44,22.1,127835,13493
38,RTX 2080 SUPER,44,35,43,11.2,122905,11624
39,RTX 2080,43,34,41,10.1,118637,11083
40,Arc A750,43,34,39,17.2,99280,12451
41,RTX 2070 SUPER,41,31,39,9.1,105349,10170
42,RTX 3060 Ti,40,37,42,16.2,115518,11708
43,Arc B570,39,30,35,11.5,85640,12546
44,Arc B580,39,35,41,13.7,111561,14665
45,RTX 2070,39,28,38,7.5,97923,9086
46,Arc A580,39,29,37,12.3,89982,10853
48,RX 6750 XT,38,36,42,13.3,111003,13544
49,RTX 2060 SUPER,38,28,37,7.2,92186,8739
50,RX 6700 XT,37,35,41,13.2,110742,12807
51,RX 7600 XT,37,35,39,22.6,86899,11232
52,RTX 4060,37,36,38,15.1,106633,10617
53,RX 7600,35,34,36,21.7,82731,10988
54,RTX 3060,34,32,38,12.7,91603,8747
55,RTX 2060,33,25,32,6.5,78934,7571
56,RX 6600 XT,31,29,33,10.6,84088,9654
57,RX 6650 XT,31,29,35,10.8,90831,9921
58,GTX 1080 Ti,31,28,36,11.3,74966,9983
59,RX 5700 XT,30,26,36,9.8,81739,9425
60,RX 6600,29,28,29,8.9,58048,10425
61,RTX 3050,26,24,29,9.1,67028,6226
62,RX 5600 XT,25,21,30,7.2,66629,7633
63,GTX 1080,25,22,31,8.9,63994,7592
64,GTX 1660 Ti,24,19,30,5.4,72340,6344
65,GTX 1070 Ti,24,21,29,8.2,57735,6843
66,GTX 1660 SUPER,23,18,30,5,67074,6047
67,GTX 1070,22,19,28,6.5,53429,6091
68,GTX 980 Ti,21,18,28,6.1,49950,5856
69,RX 6500 XT,21,18,23,5.8,53081,4952
70,GTX 1660,21,17,27,5,60105,5444
71,Arc A380,21,15,22,4.2,39896,4278
72,RX 590,20,17,25,7.1,45783,4778
73,RX 5500 XT,19,15,24,5.2,43831,4857
74,RX 580,19,15,25,6.2,40514,4353
75,GTX 1650 SUPER,19,15,25,4.4,57455,4693
76,GTX 1060 6GB,18,14,23,4.4,39230,4203
77,GTX 970,17,15,21,3.9,28989,-
78,RX 570,17,14,22,5.1,37147,3854
79,GTX 1060 3GB,17,13,22,3.9,34861,3863
80,GTX 1650,16,12,21,3,39481,3565
81,GTX 1050 Ti,14,10,18,2.1,21180,2352
82,RX 560,13,9,17,2.6,19139,1857
83,GTX 960,12,9,17,2.4,20370,2303
84,GTX 1050,12,8,16,1.9,20580,1734