"name","price","type","efficiency","wattage","modular","color"
"Corsair RM750e (2023)",99.99,"ATX","gold",750,"Full","Black"
"Corsair RM850e (2023)",119.99,"ATX","gold",850,"Full","Black"
"Corsair RM1000e (2023)",159.99,"ATX","gold",1000,"Full","Black"
"Corsair RM650 (2023)",89.99,"ATX","gold",650,"Full","Black"
"MSI MAG A650BN",59,"ATX","bronze",650,"false","Black"
"MSI MAG A850GL PCIE5",89.99,"ATX","gold",850,"Full","Black"
"Corsair CX650M (2021)",79.99,"ATX","bronze",650,"Semi","Black"
"MSI MAG A550BN",49,"ATX","bronze",550,"false","Black"
"Corsair SF750",184.99,"SFX","platinum",750,"Full",""
"Corsair RM850",124.99,"ATX","gold",850,"Full","White / Black"
"Corsair RM850x (2021)",149.99,"ATX","gold",850,"Full","Black"
"Thermaltake Smart",39.06,"ATX","plus",500,"false",""
"Cooler Master MWE Gold 850 - V2",89.99,"ATX","gold",850,"Full","Black"
"Corsair RM1000x (2021)",159.99,"ATX","gold",1000,"Full","Black"
"Asus ROG THOR 1600T Gaming",699.99,"ATX","titanium",1600,"Full","Silver / Black"
"Thermaltake Smart",40.99,"ATX","plus",600,"false",""
"MSI MAG A750GL PCIE5",89,"ATX","gold",750,"Full","Black"
"MSI MAG A650GL",79.98,"ATX","gold",650,"Full","Black"
"Corsair SF850L",144.05,"SFX","gold",850,"Full","Black"
"SeaSonic FOCUS GX",74.99,"ATX","gold",750,"Full","Black"
"Apevia Galaxy",54.99,"ATX","gold",650,"Semi","Black"
"Corsair HX1500i (2023)",359.99,"ATX","platinum",1500,"Full","Black"
"SeaSonic FOCUS Plus 650 Gold",126.47,"ATX","gold",650,"Full",""
"Corsair RM750",109.99,"ATX","gold",750,"Full","White / Black"
"be quiet! Pure Power 12 M",89.9,"ATX","gold",750,"Full","Black"
"be quiet! Pure Power 12 M",99.9,"ATX","gold",850,"Full","Black"
"Gigabyte UD750GM",92.12,"ATX","gold",750,"Full","Black"
"Corsair RM750x (2021)",99.99,"ATX","gold",750,"Full","Black"
"Corsair CX750M (2021)",89.95,"ATX","bronze",750,"Semi","Black"
"Thermaltake Toughpower GF A3 Snow",119.99,"ATX","gold",850,"Full","White"
"MSI A1000G PCIE5",157.99,"ATX","gold",1000,"Full","Black"
"Corsair SF1000L",156.94,"SFX","gold",1000,"Full","Black"
"Corsair CX (2023)",74.98,"ATX","bronze",750,"false","Black"
"Silverstone HELA",622.29,"ATX","",2050,"Full","Black / White"
"Corsair CX (2023)",64.98,"ATX","bronze",650,"false","Black"
"Corsair AX1600i",609.94,"ATX","titanium",1600,"Full",""
"Apevia Prestige",51.99,"ATX","gold",600,"false","Black"
"be quiet! Dark Power 13",229.9,"ATX","titanium",1000,"Full","Black"
"EVGA 650 B5",74.99,"ATX","bronze",650,"Full","Black"
"Thermaltake Toughpower GX2",59.99,"ATX","gold",600,"false","Black"
"Corsair RMe (2023)",169.99,"ATX","gold",1200,"Full","Black"
"Cooler Master V750 SFX GOLD",104.99,"SFX","gold",750,"Full","Black"
"SeaSonic FOCUS GX-1000 ATX 3.0",139.99,"ATX","gold",1000,"Full","Black"
"EVGA 500 BR",59.99,"ATX","bronze",500,"false",""
"NZXT C850 (2022)",99.99,"ATX","gold",850,"Full","Black"
"Corsair CX (2023)",59.99,"ATX","bronze",550,"false","Black"
"Thermaltake Toughpower GF1 (2024)",94.99,"ATX","gold",850,"Full","Black"
"MSI MPG A850G PCIE5",127.88,"ATX","gold",850,"Full","Black"
"be quiet! Dark Power Pro 13",399.9,"ATX","titanium",1600,"Full","Black"
"Thermaltake Smart",59.98,"ATX","plus",700,"false",""
"SeaSonic FOCUS PLUS 850 Gold",94.99,"ATX","gold",850,"Full",""
"Corsair HX1000i (2023)",214.99,"ATX","platinum",1000,"Full","Black"
"EVGA SuperNOVA 1000 GT",139.99,"ATX","gold",1000,"Full","Black"
"Asus ROG THOR P2 Gaming",299.99,"ATX","platinum",1200,"Full","Silver / Black"
"SeaSonic FOCUS GX-850 ATX 3.0",109.99,"ATX","gold",850,"Full","Black"
"EVGA SuperNOVA 650 GM",126.66,"SFX","gold",650,"Full","Black"
"Cooler Master MWE GOLD 750 V2 FULL MODULAR",137.33,"ATX","gold",750,"Full","Black"
"ADATA XPG CORE Reactor 850",94.99,"ATX","gold",850,"Full","Black"
"Asus ROG Strix",168.99,"ATX","gold",850,"Full","White"
"be quiet! Straight Power 12",199.9,"ATX","platinum",1200,"Full","Black"
"NZXT C750 (2022)",89.99,"ATX","gold",750,"Full","Black"
"Gigabyte UD850GM",99.99,"ATX","gold",850,"Full","Black"
"SeaSonic FOCUS GX-750 ATX 3.0",89.99,"ATX","gold",750,"Full","Black"
"SeaSonic FOCUS SGX (2021)",99.99,"SFX","gold",750,"Full","Black"
"be quiet! Pure Power 11",89.28,"ATX","gold",400,"false","Black"
"be quiet! Pure Power 12 M",129.9,"ATX","gold",1000,"Full","Black"
"MSI MPG A750GF",93.99,"ATX","gold",750,"Full","Black"
"Thermaltake Toughpower GF3 Snow",179.99,"ATX","gold",1200,"Full","White"
"Cooler Master V SFX Gold ATX 3.0",114,"SFX","gold",850,"Full","Black"
"Deepcool PM750D",88.02,"ATX","gold",750,"false","Black"
"EVGA SuperNOVA 850 GT",124.99,"ATX","gold",850,"Full","Black"
"SeaSonic PRIME TX",595,"ATX","titanium",1600,"Full","Black / Silver"
"be quiet! Pure Power 12 M",79.9,"ATX","gold",650,"Full","Black"
"EVGA SuperNOVA 750 GT",114.39,"ATX","gold",750,"Full","Black"
"Lian Li SP",132.82,"SFX","gold",750,"Full","Black"
"EVGA 650BP",54.99,"ATX","bronze",650,"false","Black"
"SeaSonic FOCUS GX",129.1,"ATX","gold",650,"Full","Black"
"MSI MAG A850GL PCIE5",113.64,"ATX","gold",850,"Full","White"
"EVGA 500 W1",49.86,"ATX","plus",500,"false",""
"Cooler Master V850 SFX GOLD",186.99,"SFX","gold",850,"Full","Black"
"ADATA XPG Core Reactor II",99.99,"ATX","gold",850,"Full","Black"
"be quiet! Straight Power 12",189.9,"ATX","platinum",1000,"Full","Black"
"be quiet! Dark Power 13",189.9,"ATX","titanium",850,"Full","Black"
"EVGA SuperNOVA 650 GT",94.99,"ATX","gold",650,"Full","Black"
"MSI MEG Ai1300P PCIE5",299,"ATX","platinum",1300,"Full","Black / Copper"
"Apevia CAPTAIN",31.99,"ATX","",550,"false","Black"
"Deepcool PX1000G",129.99,"ATX","gold",1000,"Full","Black"
"Gigabyte P450B",58.66,"ATX","bronze",450,"false","Black"
"SeaSonic FOCUS Plus Platinum",107.99,"ATX","platinum",750,"Full",""
"EVGA 600 BR",68.45,"ATX","bronze",600,"false",""
"NZXT C1200",183.1,"ATX","gold",1200,"Full","Black"
"Asus ROG STRIX 1000G",172.99,"ATX","gold",1000,"Full","Black"
"SeaSonic PRIME TX-1000",449.99,"ATX","titanium",1000,"Full","Black"
"NZXT C1000 (2022)",149.97,"ATX","gold",1000,"Full","Black"
"Asus TUF Gaming 1000G",149.99,"ATX","gold",1000,"Full","Black"
"Corsair AX1200",699,"ATX","gold",1200,"Full",""
"Corsair HX1200 Platinum",415,"ATX","platinum",1200,"Full",""
"Super Flower Leadex Platinum SE",144.99,"ATX","platinum",1000,"Full","White"
"SeaSonic FOCUS Plus 750 Gold",74.99,"ATX","gold",750,"Full",""
"Asus TUF Gaming 850G",139.99,"ATX","gold",850,"Full","Black"
"Apevia Prestige",66.98,"ATX","gold",800,"false","Black"
"Asus Prime AP-750G",109.99,"ATX","gold",750,"Full","White / Black"
"ADATA XPG CORE Reactor 750",89.99,"ATX","gold",750,"Full","Black"
"Super Flower Leadex III Gold",99.99,"ATX","gold",750,"Full","Black"
"EVGA 600 GD",74.98,"ATX","gold",600,"false","Black"
"Apevia Galaxy",69.98,"ATX","gold",850,"Semi","Black"
"MSI MAG A750BN PCIE5",84,"ATX","bronze",750,"false","Black"
"Logisys PS480D",16.98,"ATX","",480,"false",""
"EVGA SuperNOVA 850 P5",119.99,"ATX","platinum",850,"Full","Black / Teal"
"Thermaltake Smart BM3",79.98,"ATX","bronze",850,"Semi","Black"
"EVGA 700 GD",84.99,"ATX","gold",700,"false","Black"
"Gigabyte UD1000GM",129.99,"ATX","gold",1000,"Full","Black"
"Corsair RM750 (2019)",210.09,"ATX","gold",750,"Full","Black"
"Lian Li SP750",139.99,"SFX","gold",750,"Full","White"
"Corsair RM1200x SHIFT",205.99,"ATX","gold",1200,"Full / Side","Black"
"Corsair RM1000x",244.99,"ATX","gold",1000,"Full",""
"Lian Li SP850",146.94,"SFX","gold",850,"Full","White"
"SeaSonic FOCUS GX",129.99,"ATX","gold",1000,"Full","Black"
"Corsair RM1000x SHIFT",188.14,"ATX","gold",1000,"Full / Side","White"
"Thermaltake Toughpower GF3 TT Premium",289.99,"ATX","gold",1650,"Full","Black"
"Gigabyte UD1000GM PG5 (rev. 2.0)",114.99,"ATX","gold",1000,"Full","Black"
"Asus ROG THOR P2 Gaming",199.99,"ATX","platinum",850,"Full","Black / Silver"
"EVGA 400 N1",69.09,"ATX","",400,"false",""
"SeaSonic FOCUS GX",94.99,"ATX","gold",850,"Full","Black"
"Corsair RM850x SHIFT",144.99,"ATX","gold",850,"Full / Side","Black"
"ADATA XPG Core Reactor II",104.99,"ATX","gold",850,"Full","White"
"be quiet! Straight Power 12",159.9,"ATX","platinum",850,"Full","Black"
"SeaSonic FOCUS Plus Gold",129.99,"ATX","gold",1000,"Full","Black"
"be quiet! Dark Power Pro 13",369.9,"ATX","titanium",1300,"Full","Black"
"SeaSonic FOCUS Gold",69.99,"ATX","gold",550,"Semi",""
"Deepcool PM850D",84.99,"ATX","gold",850,"false","Black"
"SeaSonic FOCUS Plus Platinum",134.99,"ATX","platinum",850,"Full",""
"Asus ROG THOR P2 Gaming",329.99,"ATX","platinum",1000,"Full","Silver / Black"
"Corsair RM1000x SHIFT",186.99,"ATX","gold",1000,"Full / Side","Black"
"SeaSonic VERTEX GX-1200",192.31,"ATX","gold",1200,"Full","Black / Silver"
"Thermaltake Toughpower GF3 TT Premium",102,"ATX","gold",850,"Full","Black"
"Apevia Premier",59.99,"ATX","gold",650,"Semi","Black"
"Cooler Master V SFX Platinum",215.53,"SFX","platinum",1100,"Full","Black"
"G.Skill MB750G",82.99,"ATX","gold",750,"Full","Black"
"ADATA XPG CORE Reactor 650",84.94,"ATX","gold",650,"Full","Black"
"EVGA SuperNOVA 750 P5",169.99,"ATX","platinum",750,"Full","Black / Teal"
"Corsair RM750x SHIFT",89.99,"ATX","gold",750,"Full / Side","Black"
"EVGA SuperNOVA 1000G XC",124.99,"ATX","gold",1000,"Full","Black"
"EVGA 700 BR",71.98,"ATX","bronze",700,"false",""
"Cooler Master MWE Bronze V2",719.3,"ATX","bronze",650,"false","Black"
"CoolMax I-500",26.68,"ATX","",500,"false",""
"EVGA 850 B5",99.99,"ATX","bronze",850,"Full","Black"
"Lian Li SP850",141.87,"SFX","gold",850,"Full","Black"
"Thermaltake Smart BM3",89.99,"ATX","bronze",750,"Semi","Black"
"Athena Power AP-MTFX30",36.99,"TFX","",300,"false",""
"be quiet! Pure Power 12 M",146.9,"ATX","gold",1200,"Full","Black"
"Deepcool PQ1000M",129.99,"ATX","gold",1000,"Full","Black"
"EVGA SuperNOVA 850 GM",154.99,"SFX","gold",850,"Full","Black"
"Thermaltake Smart BX1",74.98,"ATX","bronze",750,"false","Black"
"GameMax GX Pro Rampage",85.99,"ATX","gold",850,"Full","Black"
"be quiet! SFX L Power",130.53,"SFX","gold",600,"Full",""
"Deepcool PX850G",114.99,"ATX","gold",850,"Full","Black"
"SeaSonic S12III",64.81,"ATX","bronze",500,"false","Black"
"SeaSonic PRIME TX-1600 ATX 3.0",519.82,"ATX","titanium",1600,"Full","Black / Silver"
"Gigabyte P550B",78.98,"ATX","bronze",550,"false","Black"
"Asus TUF Gaming B",50.99,"ATX","bronze",450,"false","Black"
"Thermaltake Toughpower GF A3 - TT Premium Edition",89.99,"ATX","gold",750,"Full","Black"
"Corsair CX550 (2017)",167.87,"ATX","bronze",550,"false",""
"Cooler Master G700",69.99,"ATX","gold",700,"false","Black"
"SeaSonic PRIME TX-1300 ATX 3.0",496.98,"ATX","titanium",1300,"Full","Black / Silver"
"Corsair SF600",215,"SFX","platinum",600,"Full","Black"
"Gigabyte UD-GM PG5",124.99,"ATX","gold",850,"Full","White"
"EVGA 750 N1",63.46,"ATX","",750,"false",""
"Deepcool PX1000G WH",153.98,"ATX","gold",1000,"Full","White"
"EVGA 650 GQ",94.95,"ATX","gold",650,"Semi",""
"Asus TUF Gaming 750G",99.99,"ATX","gold",750,"Full","Black"
"Gigabyte P850GM",129.99,"ATX","gold",850,"Full","Black"
"Antec NeoECO Gold",139.38,"ATX","gold",750,"Full",""
"be quiet! SFX L Power",128.84,"SFX","gold",500,"Full",""
"Corsair RM1200x SHIFT",239.99,"ATX","gold",1200,"Full / Side","White"
"EVGA 600 W1",60.91,"ATX","plus",600,"false",""
"SeaSonic VERTEX GX-1000",169.99,"ATX","gold",1000,"Full","Black / Silver"
"EVGA 850 BQ",93.31,"ATX","bronze",850,"Semi",""
"Silverstone SFX",217.98,"SFX","titanium",800,"Full",""
"EVGA SuperNOVA 850G XC",99.99,"ATX","gold",850,"Full","Black"
"Corsair HX1000i",362.62,"ATX","platinum",1000,"Full",""
"SeaSonic VERTEX PX-1200",295,"ATX","platinum",1200,"Full","Black / Silver"
"Corsair RM850x (2018)",174.88,"ATX","gold",850,"Full","Black"
"Silverstone SX500-G",107.99,"SFX","gold",500,"Full",""
"EVGA SuperNOVA 1600 G2",599.99,"ATX","gold",1600,"Full",""
"be quiet! SFX Power 3 450",179.5,"SFX","bronze",450,"false","Black"
"be quiet! Dark Power 13",159.9,"ATX","titanium",750,"Full","Black"
"MSI MEG Ai1000P PCIE5",251,"ATX","platinum",1000,"Full","Black / Copper"
"SeaSonic S12III",69,"ATX","bronze",650,"false","Black"
"Thermaltake Toughpower GF3 TT Premium",99.99,"ATX","gold",750,"Full","Black"
"Vetroo GV1000",129.99,"ATX","gold",1000,"Full","White"
"Azza PSAZ-550W",54.31,"ATX","bronze",550,"false","Black"
"Thermaltake TR2 S",74.2,"ATX","plus",600,"false","Black"
"SeaSonic FOCUS SPX (2021)",188.43,"SFX","platinum",750,"Full","Black"
"Asus ROG LOKI",213.99,"SFX","platinum",850,"Full","White / Silver"
"PowerSpec PS 650BF",58.99,"ATX","bronze",650,"false","Black"
"Corsair RM750x (2018)",164.99,"ATX","gold",750,"Full","Black"
"PowerSpec PS 750BSM",72.98,"ATX","bronze",750,"Semi","Black"
"be quiet! System Power 10",238.16,"ATX","bronze",750,"false","Black"
"Montech CENTURY MINI",98.9,"SFX","gold",750,"Full","Black"
"Thermaltake TR2",62.09,"ATX","",500,"false",""
"be quiet! Pure Power 12 M",149.9,"ATX","gold",550,"Full","Black"
"Corsair RM850x",174.88,"ATX","gold",850,"Full",""
"Corsair RM650x (2018)",182.99,"ATX","gold",650,"Full","Black / Silver"
"Thermaltake Toughpower GF3 TT Premium",162.99,"ATX","gold",1000,"Full","Black"
"Asus ROG LOKI",207.99,"SFX","platinum",850,"Full","Black / Silver"
"be quiet! System Power 10",186.12,"ATX","bronze",550,"false","Black"
"be quiet! Straight Power 12",249.9,"ATX","platinum",1500,"Full","Black"
"EVGA SuperNOVA 750 GM",149.99,"SFX","gold",750,"Full","Black"
"Raidmax XT",30.99,"ATX","",400,"false",""
"EVGA SuperNOVA 650 G+",107.67,"ATX","gold",650,"Full","Black"
"EVGA 750 BP",71.99,"ATX","bronze",750,"false","Black"
"Silverstone SFX",111.67,"SFX","gold",500,"Full",""
"Thermaltake Smart BX1 650",59.99,"ATX","bronze",650,"false","Black"
"SeaSonic FOCUS PX",134.99,"ATX","platinum",850,"Full","Black"
"EVGA SuperNOVA 1300 GT",188.99,"ATX","gold",1300,"Full","Black"
"Asus ROG Strix",134.99,"ATX","gold",750,"Full","Black / Red"
"Corsair HX1200i",319.99,"ATX","platinum",1200,"Full","Black"
"Asus ROG LOKI",174.99,"SFX","platinum",750,"Full","Black / Silver"
"Asus ROG Strix Aura Edition",204.99,"ATX","gold",1000,"Full","Black"
"be quiet! System Power 10",302.47,"ATX","gold",850,"false","Black"
"Asus ROG-STRIX-850G",155.94,"ATX","gold",850,"Full","Black"
"Montech TITAN GOLD 1200W",140.24,"ATX","gold",1200,"Full","Black"
"Corsair CX650 (2017)",126,"ATX","bronze",650,"false",""
"Apevia Signature",68.98,"ATX","bronze",1050,"Semi","Black"
"Super Flower Leadex Platinum SE",139.99,"ATX","platinum",1000,"Full","Black"
"EVGA 700 BQ",74.98,"ATX","bronze",700,"Semi","Black"
"Super Flower Leadex Platinum SE",159.99,"ATX","platinum",1200,"Full","Black"
"Phanteks Revolt SFX",199.99,"SFX","platinum",850,"Full","Black"
"Thermaltake Toughpower GF A3 - TT Premium Edition",139.99,"ATX","gold",1050,"Full","Black"
"EVGA 750 GQ",99,"ATX","gold",750,"Semi",""
"EVGA SuperNOVA 650 P5",94.99,"ATX","platinum",650,"Full","Black / Teal"
"MSI MPG A1000G",299.39,"ATX","gold",1000,"Full","Black"
"EVGA SuperNOVA 1000 G+",341.99,"ATX","gold",1000,"Full","Black"
"MSI MPG A850GF",192.9,"ATX","gold",850,"Full","Black"
"Cooler Master MWE Gold V2 ATX3.0",139.97,"ATX","gold",1050,"Full","Black"
"Super Flower Leadex III Gold",99.99,"ATX","gold",850,"Full","Black"
"EVGA SuperNOVA 850 G5",144.87,"ATX","gold",850,"Full","Black / Green"
"Thermaltake Toughpower GF A3 - TT Premium Edition",181.05,"ATX","gold",1200,"Full","Black"
"Super Flower Leadex Titanium",189.99,"ATX","titanium",1000,"Full","Black"
"Corsair AX1200i",587.73,"ATX","platinum",1200,"Full",""
"be quiet! Pure Power 11 600",143.58,"ATX","gold",600,"false","Black"
"EVGA 450 BR",109.99,"ATX","bronze",450,"false",""
"Corsair CX750 (2017)",94.99,"ATX","bronze",750,"false",""
"Thermaltake Smart BM3",79.98,"ATX","bronze",650,"Semi","Black"
"Corsair HX1000 Platinum",369.95,"ATX","platinum",1000,"Full",""
"Silverstone SFX",75.84,"SFX","bronze",300,"false","Black"
"Corsair RM650 (2019)",219.99,"ATX","gold",650,"Full","Black"
"Asus Prime AP-850G",129.99,"ATX","gold",850,"Full","White / Black"
"Corsair RM850",179.96,"ATX","gold",850,"Full","Black"
"CoolMax ZX-500",39.99,"ATX","plus",500,"false",""
"Silverstone FX500-G",139.99,"Flex ATX","gold",500,"false","Black"
"EVGA SuperNOVA 1000 P3",189.99,"ATX","platinum",1000,"Full","Black / Silver"
"SeaSonic FOCUS",101.99,"ATX","gold",850,"Semi","Black"
"Azza PSAZ-650W",60.65,"ATX","bronze",650,"false","Black"
"Corsair SF600",214.99,"SFX","gold",600,"Full",""
"Corsair RM850x SHIFT",169.99,"ATX","gold",850,"Full / Side","White"
"Thermaltake Toughpower GF1 (2024)",94.17,"ATX","gold",750,"Full","Black"
"Apevia Galaxy",79.98,"ATX","gold",1000,"Semi","Black"
"Corsair CX550M",178,"ATX","bronze",550,"Semi",""
"Silverstone SX1000-LPT",230.8,"SFX","platinum",1000,"Full","Black"
"Silverstone FX600 Platinum",179.52,"Flex ATX","",600,"false","Black"
"EVGA SuperNOVA 1200 P3",209.99,"ATX","platinum",1200,"Full","Black / Silver"
"Asus ROG Strix Aura Edition",234.99,"ATX","gold",1200,"Full","Black"
"Thermaltake Smart RGB 230V",149,"ATX","plus",500,"false","Black"
"MSI MAG A1000GL PCIE5",179,"ATX","gold",1000,"Full","Black"
"EVGA SuperNOVA 650 GA",120.69,"ATX","gold",650,"Full","Black"
"Thermaltake Toughpower SFX",159.99,"SFX","gold",750,"Full","Black"
"Asus ROG THOR 850P",349.99,"ATX","platinum",850,"Full","Black / Red"
"GameMax GX Pro Rampage",109.99,"ATX","gold",850,"Full","White"
"EVGA 500 GD",109.99,"ATX","gold",500,"false","Black"
"Corsair RM850x White",279,"ATX","gold",850,"Full","White / Black"
"EVGA 600 BQ",145.28,"ATX","bronze",600,"Semi",""
"EVGA 650 BQ",128.99,"ATX","bronze",650,"Semi",""
"Corsair RM750",171.99,"ATX","gold",750,"Full","Black"
"EVGA 650 N1",57.52,"ATX","",650,"false",""
"Deepcool DQ750-M-V2L",99.99,"ATX","gold",750,"Full","Black / Green"
"Deepcool PX850G WH",155.73,"ATX","gold",850,"Full","White"
"Corsair CX650M",143.88,"ATX","bronze",650,"Semi",""
"GameMax RGB Rainbow",109.99,"ATX","gold",850,"Full","Black"
"ADATA XPG Core Reactor II",129.99,"ATX","gold",1000,"Full","Black"
"SeaSonic VERTEX PX-1000",253.2,"ATX","platinum",1000,"Full","Black / Silver"
"PowerSpec PS 650GSM",76.98,"ATX","gold",650,"Semi","Black"
"Thermaltake Toughpower GF3 TT Premium",189.99,"ATX","gold",1350,"Full","Black"
"GameMax GX Pro Rampage",159.99,"ATX","platinum",1050,"Full","White"
"Silverstone HELA 1200R",235.1,"ATX","platinum",1200,"Full","Black"
"EVGA SuperNOVA 1000 G5",171.46,"ATX","gold",1000,"Full","Black / Green"
"Cooler Master MWE Gold V2 ATX3.0",159.99,"ATX","gold",1250,"Full","Black"
"be quiet! Straight Power 12",139.9,"ATX","platinum",750,"Full","Black"
"Aerocool LUX RGB 750M (230V EU)",100.42,"ATX","bronze",750,"Semi","Black"
"be quiet! Straight Power 11 750W",260,"ATX","gold",750,"Full",""
"Fractal Design Ion Gold",128.29,"ATX","gold",550,"Full","Black"
"Super Flower Leadex Titanium",299.99,"ATX","titanium",1600,"Full","Black"
"EVGA SuperNOVA 650 G3",172.49,"ATX","gold",650,"Full",""
"Corsair HX1500i (2022)",367,"ATX","platinum",1500,"Full","Black"
"Thermaltake TR2 S",94.82,"ATX","plus",700,"false","Black"
"Deepcool PX1200G",149.99,"ATX","gold",1200,"Full","Black"
"EVGA SuperNOVA 650 G5",104.99,"ATX","gold",650,"Full","Black / Green"
"Asus TUF Gaming B",45.99,"ATX","bronze",550,"false","Black"
"Asus ROG THOR P2 Gaming EVA Edition",511.83,"ATX","platinum",1000,"Full","Black / Silver"
"EVGA 750 BQ",149.88,"ATX","bronze",750,"Semi",""
"GameMax RGB Rainbow",99.99,"ATX","gold",750,"Full","Black"
"Corsair AX1500i",649,"ATX","titanium",1500,"Full",""
"be quiet! System Power 9 CM",158.8,"ATX","bronze",400,"Semi","Black"
"Thermaltake Toughpower GF3 TT Premium",156.49,"ATX","gold",1200,"Full","Black"
"Corsair CX650F",199.99,"ATX","bronze",650,"Full","Black"
"Corsair RM750x White (2018)",220,"ATX","gold",750,"Full","White / Black"
"Corsair RM750x",164.92,"ATX","gold",750,"Full",""
"GAMDIAS KRATOS M1 B",69.98,"ATX","bronze",750,"false","Black"
"Montech TITAN GOLD 1000W",140.24,"ATX","gold",1000,"Full","Black"
"Thermaltake Toughpower GF1 PE",144.98,"ATX","gold",850,"Full","Black"
"Logisys PS480D2",16.98,"ATX","",480,"false",""
"Enermax Revolution D.F. X",129.99,"ATX","gold",1050,"Full","Black"
"Silverstone SST-TX300",74.98,"TFX","bronze",300,"false","Black"
"Super Flower LEADEX VII XG",179.99,"ATX","gold",1000,"Full","Black"
"Corsair SF450",265,"SFX","platinum",450,"Full","Black"
"Silverstone DA750 Gold",134.43,"ATX","gold",750,"Full","Black / White"
"Sparkle FSP350-60GNV",69.99,"SFX","",350,"false",""
"ADATA XPG FUSION 1600",627.75,"ATX","titanium",1600,"Full","Black / Silver"
"Silverstone FX350-G",97.99,"Flex ATX","gold",350,"false","Black"
"Corsair TX550M Gold",229.99,"ATX","gold",550,"Semi",""
"FSP Group Hydro Ti PRO,Gen 5",259.99,"ATX","titanium",1000,"Full","Black"
"Super Flower Leadex Titanium",199.99,"ATX","titanium",850,"Full","Black"
"FSP Group Hydro G Pro",147.61,"ATX","gold",1000,"Full","Black"
"Thermaltake Toughpower GF A3 - TT Premium Edition",169.99,"ATX","gold",1200,"Full","Black"
"Silverstone Extreme 850R Platinum",209.99,"SFX","",850,"Full","Black"
"EVGA SuperNOVA 1600 G+",316.63,"ATX","gold",1600,"Full","Black"
"Thermaltake Toughpower GF A3 - TT Premium Edition",84.99,"ATX","gold",650,"Full","Black"
"EVGA 1000 GQ",129.99,"ATX","gold",1000,"Semi",""
"Thermaltake Toughpower SFX",175.48,"SFX","gold",1000,"Full","Black"
"Vetroo GV1000",119.99,"ATX","gold",1000,"Full","Black"
"SeaSonic PRIME TX-850",349.97,"ATX","titanium",850,"Full","Black"
"Thermaltake Toughpower GX3",89.99,"ATX","gold",850,"false","Black"
"Silverstone SX650-G",142.22,"SFX","gold",650,"Full",""
"FSP Group Hydro GE",79.98,"ATX","gold",550,"Full",""
"Asus TUF Gaming 1200G",204.08,"ATX","gold",1200,"Full","Black"
"GAMDIAS KRATOS P1 G",79.98,"ATX","gold",750,"false","Black"
"Silverstone SFX",95.38,"SFX","bronze",450,"false","Black"
"be quiet! System Power 9",114.19,"ATX","bronze",600,"false","Black"
"be quiet! Straight Power 11 850W",189.8,"ATX","gold",850,"Full",""
"be quiet! Pure Power 9 CM",203.24,"ATX","bronze",600,"Semi","Black"
"Corsair CX750M V2 (2017 Edition)",174.71,"ATX","bronze",750,"Semi","Black / White"
"SeaSonic G12 GM",146.07,"ATX","gold",650,"Semi","Black / Blue"
"Thermaltake Toughpower GX1",67.12,"ATX","gold",600,"Semi","Black"
"SeaSonic PRIME PX-1600 ATX 3.0",472.99,"ATX","platinum",1600,"Full","Black / Silver"
