"name","price","type","efficiency","wattage","modular","color"
"Azza PSAZ-750W",69.99,"ATX","bronze",750,"false","Black"
"Gigabyte UD-GM PG5",138.47,"ATX","gold",750,"Full","Black"
"Antec CSK",101.74,"ATX","bronze",750,"Semi","Black / Yellow"
"SeaSonic PRIME Fanless",332.89,"ATX","titanium",700,"Full","Black"
"Cougar POLAR",235.99,"ATX","platinum",1200,"Full","White"
"Thermaltake Toughpower SFX",151.33,"SFX","gold",850,"Full","Black"
"Raidmax RX-530SS",49.99,"ATX","",530,"Semi",""
"EVGA 550 BP",79.98,"ATX","bronze",550,"false","Black"
"Super Flower LEADEX VII XG",203.99,"ATX","gold",1300,"Full","Black"
"Corsair RM750x SHIFT",139.99,"ATX","gold",750,"Full / Side","White"
"SeaSonic PRIME 1300 Gold",199.99,"ATX","gold",1300,"Full","Black"
"EVGA SuperNOVA 750 G5",157.99,"ATX","gold",750,"Full","Black / Green"
"SeaSonic VERTEX GX-850",139.99,"ATX","gold",850,"Full","Black / Silver"
"Corsair RM850 (2019)",189.54,"ATX","gold",850,"Full","Black"
"SeaSonic FOCUS",107.99,"ATX","platinum",750,"Full","Black"
"SeaSonic G12 GC",84.89,"ATX","gold",550,"false","Black / Blue"
"Cooler Master MWE Bronze",88.95,"ATX","bronze",500,"false","Black"
"Fractal Design Ion Gold",177.7,"ATX","gold",750,"Full","Black"
"SeaSonic PRIME TX-750",349.7,"ATX","titanium",750,"Full","Black"
"EVGA 750 B5",97.78,"ATX","bronze",750,"Full","Black"
"SeaSonic FOCUS",69.99,"ATX","gold",550,"Semi","Black"
"Fractal Design Ion Gold",195.11,"ATX","gold",850,"Full","Black"
"EVGA SuperNOVA 550 GA",170,"ATX","gold",550,"Full","Black"
"Corsair RM650",204.99,"ATX","gold",650,"Full","Black"
"Silverstone ET500-ARGB",89.99,"ATX","bronze",500,"false","Black"
"Thermaltake Smart Pro RGB",179,"ATX","bronze",650,"Full",""
"SeaSonic G12 GM",106.33,"ATX","gold",550,"Semi","Black / Blue"
"EVGA SuperNOVA 850 GA",259,"ATX","gold",850,"Full","Black"
"Corsair HX1200i",499,"ATX","platinum",1200,"Full",""
"Corsair CXM",155,"ATX","bronze",750,"Semi",""
"Corsair CX750F",216.06,"ATX","bronze",750,"Full","Black"
"Asus ROG Strix Aura Edition",169.99,"ATX","gold",850,"Full","Black"
"NZXT C (2019)",89.99,"ATX","gold",650,"Full","Black"
"Thermaltake Toughpower TF1 - TT Premium",499.99,"ATX","titanium",1550,"Full","Black"
"EVGA SuperNOVA 750 GA",176.99,"ATX","gold",750,"Full","Black"
"Super Flower Leadex III Gold",125.99,"ATX","gold",550,"Full","Black"
"MSI MAG A1250GL PCIE5",199,"ATX","gold",1250,"Full","Black"
"FSP Group FSP400-60FGGBA",107.72,"Flex ATX","gold",400,"false",""
"Apevia Prestige",74.98,"ATX","gold",1000,"false","Black"
"Super Flower Leadex III ARGB",169.99,"ATX","gold",750,"Full","White"
"SeaSonic G12 GM",126,"ATX","gold",850,"Semi","Black / Blue"
"Enermax Revolution D.F. X",109.99,"ATX","gold",850,"Full","Black"
"Montech CENTURY G5",124.9,"ATX","gold",850,"Full","Black"
"SeaSonic PRIME TX",559.45,"ATX","titanium",1300,"Full","Black / Silver"
"Xilence XP600R6",46.37,"ATX","",600,"false","Black / Red"
"Corsair HX850i",396,"ATX","platinum",850,"Full",""
"EVGA 500 BQ",149.99,"ATX","bronze",500,"Semi",""
"EVGA SuperNOVA 1600 P+",429.99,"ATX","platinum",1600,"Full","Black"
"Corsair RM1000e (2022)",220,"ATX","gold",1000,"Full","Black"
"Antec NE1000G M ATX3.0",185.29,"ATX","gold",1000,"Full","Black"
"GameMax RGB",169.99,"ATX","platinum",1300,"Full","Black"
"Enermax REVOLUTION D.F. 2",106.99,"ATX","gold",1050,"Full","Black"
"FSP Group Dagger Pro",139.99,"SFX","gold",650,"Full","Black"
"Cooler Master MWE Bronze V2",120.34,"ATX","bronze",700,"false","Black"
"Corsair RM750e (2022)",149.97,"ATX","gold",750,"Full","Black"
"EVGA SuperNOVA 1200 P2",499.99,"ATX","platinum",1200,"Full",""
"Antec NE1000G M White ATX 3.0",119.76,"ATX","gold",1000,"Full","White"
"Silverstone SFX",150.38,"SFX","platinum",700,"Full",""
"Silverstone SX700-PT",142.19,"SFX","platinum",700,"Full","Black"
"Corsair RM850x (2018)",289,"ATX","gold",850,"Full","White / Black"
"Deepcool PM650D",85.6,"ATX","gold",650,"false","Black"
"Silverstone SX-G",139.99,"SFX","gold",700,"Full","Black"
"Silverstone SX1000R-PL",270.99,"SFX","platinum",1000,"Full","Black / White"
"EVGA GE",79.98,"ATX","gold",600,"false","Black"
"Raidmax RX-730SS",57.99,"ATX","",730,"Semi",""
"Cooler Master V750 SFX GOLD",180,"SFX","gold",750,"Full","White"
"Silverstone Essential",68,"ATX","gold",550,"false","Black / Yellow"
"EVGA SuperNOVA 1000 P5",236.14,"ATX","platinum",1000,"Full","Blue / Black"
"EVGA SuperNOVA 1300 G+",206,"ATX","gold",1300,"Full","Black"
"EVGA SuperNOVA 1000 G7",239.99,"ATX","gold",1000,"Full","Black / Blue"
"Gigabyte AORUS P GM",120.91,"ATX","gold",750,"Full","Black / Silver"
"Gigabyte UD850GM PG5 (rev. 2.0)",160.99,"ATX","gold",850,"Full","Black"
"SeaSonic SSP-300SUG",95,"Flex ATX","gold",300,"false",""
"be quiet! System Power 9 700 CM",234.71,"ATX","bronze",700,"Semi","Black"
"Antec NeoECO Gold",185.88,"ATX","gold",850,"Full",""
"Corsair Vengeance 750M",94.99,"ATX","silver",750,"Semi",""
"SeaSonic VERTEX PX-850",189.99,"ATX","platinum",850,"Full","Black / Silver"
"Enermax Revolution D.F. X",284.99,"ATX","gold",1650,"Full","Black"
"EVGA SuperNOVA 750 G6",136.16,"ATX","gold",750,"Full","Black"
"Thermaltake Toughpower GF A3 - TT Premium Edition",128.47,"ATX","gold",850,"Full","Black"
"Super Flower LEADEX VII XG",190.62,"ATX","gold",850,"Full","Black"
"Corsair RM850e (2022)",155,"ATX","gold",850,"Full","Black"
"Xilence XP500R6",68.53,"ATX","",500,"false","Black / Red"
"Super Flower Leadex Platinum",142.98,"ATX","platinum",850,"Full","Black"
"Cougar VTE",56.99,"ATX","bronze",600,"false","Black"
"Silverstone TX500-G",137.99,"TFX","gold",500,"false","Black"
"Cooler Master XG850 Plus",146.59,"ATX","platinum",850,"Full","Black"
"Thermaltake Toughpower GF1 PE",106.51,"ATX","gold",650,"Full",""
"EVGA SuperNOVA 1000 G6",308.83,"ATX","gold",1000,"Full","Black"
"SeaSonic CORE GM",114.9,"ATX","gold",650,"Semi","Black"
"In Win IP-S200DF1-0",52.02,"TFX","",200,"false",""
"KOLINK Regulator",109.99,"ATX","gold",750,"Full","Black"
"EVGA SuperNOVA 1300 P+",259.99,"ATX","platinum",1300,"Full","Black"
"ADATA XPG Core Reactor II",94.99,"ATX","gold",750,"Full","Black"
"Corsair CX550F",159.99,"ATX","bronze",550,"Full","Black"
"Corsair HX1000i (2022)",299.99,"ATX","platinum",1000,"Full","Black"
"be quiet! Straight Power 11 1000W",183.99,"ATX","gold",1000,"Full",""
"Razer Katana Chroma",389.99,"ATX","platinum",1200,"Full","Black"
"Cooler Master GX III GOLD",157.41,"ATX","gold",850,"Full","Black"
"Corsair AX760i",206.66,"ATX","platinum",760,"Full",""
"Super Flower Leadex III Gold",125.99,"ATX","gold",650,"Full","Black"
"Silverstone Strider Titanium",359.99,"ATX","titanium",1300,"Full","Black / Blue"
"Silverstone Strider Platinum S",214.99,"ATX","platinum",1000,"Full","Black"
"Super Flower Leadex III ARGB",124.99,"ATX","gold",650,"Full","White"
"Super Flower Leadex VI Platinum PRO",149.99,"ATX","platinum",1000,"Full","Black / Blue"
"Asus ROG Strix Aura Edition",154.99,"ATX","gold",750,"Full","Black"
"Enermax MAXREVO SLI",149.94,"ATX","gold",1350,"Full","Black / Gold"
"Antec CSK",80.55,"ATX","bronze",650,"false","Black / Yellow"
"SHARKOON SilentStorm",139.68,"SFX","gold",500,"Full","Black"
"EVGA N1",54.99,"ATX","",550,"false",""
"SHARKOON SilentStorm Cool Zero 750",138.65,"ATX","gold",750,"Full","Black"
"EVGA SuperNOVA 650 G6",116.33,"ATX","gold",650,"Full","Black"
"EVGA SuperNOVA 750 P2",299.99,"ATX","platinum",750,"Full",""
"NZXT E850",109.99,"ATX","gold",850,"Full","Black"
"Thermaltake Toughpower PF3-L",209.99,"ATX","platinum",1200,"Full","Black"
"Antec NE1300G M ATX3.0",209.99,"ATX","gold",1300,"Full","Black"
"Cooler Master V850 Gold V2",202.25,"ATX","gold",850,"Full","Black"
"Thermaltake Smart BX1 550",96,"ATX","bronze",550,"false","Black"
"Silverstone HELA 850R",223.07,"ATX","platinum",850,"Full","Black / Silver"
"EVGA 600 B1",139.99,"ATX","bronze",600,"false",""
"Enermax Revolution D.F. X",110.93,"ATX","gold",1200,"Full","Black"
"Thermaltake Toughpower Grand RGB",144.98,"ATX","gold",750,"Full",""
"SeaSonic PRIME PX",519,"ATX","platinum",1000,"Full","Black / Silver"
"Cooler Master XG750 Plus",120.99,"ATX","platinum",750,"Full","Black"
"Enermax REVOLUTION D.F. 2",106.99,"ATX","gold",850,"Full","Black"
"ADATA XPG Core Reactor II",87.99,"ATX","gold",650,"Full","Black"
"EVGA SuperNOVA 1000 G3",389.99,"ATX","gold",1000,"Full",""
"Thermaltake Toughpower PF3-L",169.99,"ATX","platinum",1050,"Full","Black"
"SHARKOON SilentStorm Cool Zero 650",124.76,"ATX","gold",650,"Full","Black"
"SeaSonic PRIME",129.99,"ATX","gold",850,"Full","Black"
"EVGA SuperNOVA 650 G1",223.49,"ATX","gold",650,"Full",""
"EVGA SuperNOVA 650 P2",339.99,"ATX","platinum",650,"Full",""
"EVGA SuperNOVA 1000 P6",408.2,"ATX","platinum",1000,"Full","Black / Silver"
"FSP Group Dagger Pro",179.99,"SFX","gold",850,"Full","Black / Gold"
"Super Flower Leadex V Pro",299.99,"ATX","platinum",1000,"Full","White"
"Cooler Master MasterWatt",110,"ATX","bronze",750,"Semi","Black"
"Cougar GEX",109.99,"ATX","gold",850,"Full","Black"
"Corsair RM750x White",349,"ATX","gold",750,"Full","White / Black"
"Corsair TX650",255,"ATX","plus",650,"false",""
"Thermaltake Toughpower GF1 PE",123.95,"ATX","gold",750,"Full","Black"
"EVGA GE",89.46,"ATX","gold",700,"false","Black"
"EVGA SuperNOVA 750 G7",134.99,"ATX","gold",750,"Full","Black / Blue"
"Gigabyte UD1300GM PG5",199.99,"ATX","gold",1300,"Full","Black"
"be quiet! Straight Power 11",168.48,"ATX","platinum",750,"Full","Black"
"Cooler Master V650",138.65,"ATX","gold",650,"Full",""
"Fractal Design Ion+ 2 Platinum",190.42,"ATX","platinum",560,"Full","Black"
"CoolMax V-400",47.68,"ATX","",400,"false",""
"Thermaltake Smart RGB 230V",65.09,"ATX","plus",600,"false","Black"
"BitFenix BFG GOLD ATX3.0",99.9,"ATX","gold",850,"Full","Black"
"SeaSonic PRIME",223.11,"ATX","gold",1000,"Full","Black"
"be quiet! SFX Power 3 300",149.47,"SFX","bronze",300,"false","Black"
"Silverstone TX700-G",169.99,"TFX","gold",700,"false","Black"
"Corsair RM650",222.19,"ATX","gold",650,"Full",""
"Super Flower LEADEX VII XG",219.99,"ATX","gold",1000,"Full","White"
"Silverstone Essential",60.57,"ATX","bronze",550,"false","Black"
"MSI MPG A750G PCIE5",139.99,"ATX","gold",750,"Full","Black"
"SeaSonic PRIME",109.99,"ATX","gold",750,"Full","Black"
"Antec NE850G M ATX3.0",152.15,"ATX","gold",850,"Full","Black"
"Xilence XP400R6",97.89,"ATX","",400,"false","Black / Red"
"Thermaltake Toughpower Grand RGB",116.99,"ATX","gold",650,"Full",""
"KOLINK Regulator",129.99,"ATX","gold",850,"Full","Black"
"Apex AL-8250SFX",77.71,"SFX","",250,"false",""
"Apex SL-275TFX",45.95,"TFX","",275,"false",""
"Cougar VTE X2",83.98,"ATX","plus",750,"false","Black"
"Antec Signature Platinum",177.52,"ATX","platinum",1000,"Full","Black"
"Silverstone Strider Platinum S",269.99,"ATX","platinum",1200,"Full","Black"
"SeaSonic PRIME Ultra Titanium",395,"ATX","titanium",850,"Full",""
"EVGA SuperNOVA 650 G7",94.99,"ATX","gold",650,"Full","Black / Blue"
"Deepcool PX1300P",289.99,"ATX","platinum",1300,"Full","Black / Silver"
"Razer Katana Chroma",274.1,"ATX","platinum",850,"Full","Black"
"SeaSonic G",138.77,"ATX","gold",450,"Semi",""
"SeaSonic VERTEX GX-750",109.99,"ATX","gold",750,"Full","Black / Silver"
"Gigabyte UD1000GM PG5",187.14,"ATX","gold",1000,"Full","Black"
"Corsair CS750M",216.99,"ATX","gold",750,"Semi",""
"FSP Group Hydro PTM X PRO,Gen5",170,"ATX","platinum",1000,"Full","Black"
"FSP Group FSP300-60LG",153.59,"Mini ITX","bronze",300,"false",""
"Cooler Master GX III GOLD",155.63,"ATX","gold",750,"Full","Black / Purple"
"SeaSonic PRIME Titanium",599,"ATX","titanium",1000,"Full",""
"Sparkle FSP300-60ATV",59.99,"ATX","",300,"false",""
"EVGA SuperNOVA G FTW",169.99,"ATX","gold",1000,"Full","Black"
"FSP Group Hydro GE",84.78,"ATX","gold",650,"Full",""
"Corsair RM650x",203.4,"ATX","gold",650,"Full",""
"Antec VP PLUS",124.46,"ATX","plus",700,"false","Black"
"Super Flower Leadex Platinum",259.99,"ATX","platinum",1600,"Full","Black"
"Azza ARGB",64.98,"ATX","bronze",650,"false","Black"
"ADATA XPG Core Reactor II",159.99,"ATX","gold",1200,"Full","Black"
"Thermaltake Toughpower SFX 600W Gold",135.04,"SFX","gold",600,"Full","Black"
"Thermaltake Smart SE",245.47,"ATX","",630,"Semi",""
"Thermaltake Smart SE",110,"ATX","",530,"Semi","Black"
"EVGA SuperNOVA 850 G+",169.99,"ATX","gold",850,"Full",""
"Enermax Revolution D.F.",106.99,"ATX","gold",750,"Full","Black / Silver"
"FSP Group Hydro PTM X PRO,Gen5",249.99,"ATX","platinum",1200,"Full","Black"
"SeaSonic S12III",119,"ATX","bronze",550,"false","Black"
"SeaSonic PRIME PX",169.99,"ATX","platinum",750,"Full","Black / Silver"
"Logisys PS550E12BK",39.99,"ATX","",550,"false",""
"Thermaltake Toughpower Grand RGB Platinum",329.95,"ATX","platinum",1200,"Full","Black"
"be quiet! Dark Power 12",292.89,"ATX","titanium",750,"Full","Black"
"Thermaltake Smart Pro RGB",169.99,"ATX","bronze",750,"Full",""
"Super Flower Leadex V Pro",249.99,"ATX","gold",1000,"Full","Black / Gold"
"NZXT C (2019)",109.98,"ATX","gold",750,"Full","Black"
"Super Flower Leadex III ARGB",167.99,"ATX","gold",850,"Full","White"
"Silverstone Strider",103.36,"ATX","gold",550,"Full",""
"FSP Group Hydro PTM X PRO,Gen5",143.76,"ATX","platinum",850,"Full","Black"
"Corsair RM550",224.99,"ATX","gold",550,"Full",""
"Enermax REVOLUTION D.F. 2",106.99,"ATX","gold",1200,"Full","Black"
"Corsair HX750",273.99,"ATX","gold",750,"Semi",""
"Cougar COUGAR-GX1050",164.99,"ATX","gold",1050,"Semi",""
"Corsair HX1050",429,"ATX","gold",1050,"Semi",""
"Silverstone Strider Titanium",339.99,"ATX","titanium",1100,"Full","Black / Blue"
"Gigabyte UD-GM PG5",160.99,"ATX","gold",850,"Full","Black"
"Cougar GEX",205.22,"ATX","gold",1050,"Full","Black"
"Corsair AX850",319.99,"ATX","gold",850,"Full",""
"Thermaltake Toughpower PF3-L",149.99,"ATX","platinum",850,"Full","Black"
"Thermaltake TR2",59.99,"ATX","bronze",450,"false",""
"be quiet! Straight Power 11 450W",250,"ATX","gold",450,"Full",""
"SeaSonic PRIME Ultra Gold 750",109.99,"ATX","gold",750,"Full","Black"
"Cougar POLAR",209.99,"ATX","platinum",1050,"Full","White"
"EVGA SuperNOVA 650 P6",140.11,"ATX","platinum",650,"Full","Black / Silver"
"Super Flower LEADEX VII Platinum PRO",269.99,"ATX","platinum",1200,"Full","Black"
"Cooler Master MWE Bronze 550",132.19,"ATX","bronze",550,"false","Black"
"FSP Group Hydro PTM PRO,Gen5",269.99,"ATX","platinum",1200,"Full","Black"
"Super Flower LEADEX VII Platinum PRO",229.99,"ATX","platinum",1000,"Full","Black"
"Deepcool DQ-M-V2L",179.19,"ATX","gold",850,"Full","Black / Green"
"Apevia ATX-JP1000W",91.97,"ATX","bronze",1000,"false",""
"be quiet! Pure Power 11 FM 850",299.89,"ATX","gold",850,"Full","Black"
"Cooler Master V1300 Platinum",391.9,"ATX","platinum",1300,"Full","Black"
"SHARKOON SilentStorm Cool Zero 850",168.81,"ATX","gold",850,"Full","Black"
"Corsair VS500",199.93,"ATX","plus",500,"false",""
"Deepcool PX1000P",229.99,"ATX","platinum",1000,"Full","Black / Silver"
"CoolMax V-500",32.79,"ATX","",500,"false",""
"Deepcool PQ650M",128.98,"ATX","gold",650,"Full","Black"
"Cougar BXM750",97.62,"ATX","bronze",750,"Semi","Orange / Black"
"Enermax Revolution D.F. 12",149.99,"ATX","gold",850,"Full","White"
"Athena Power Apollo",49.99,"SFX","",300,"false",""
"Chieftec ATMOS",149.15,"ATX","gold",750,"Full","Black"
"ADATA XPG CYBERCORE II",279.99,"ATX","platinum",1300,"Full","Black"
"ADATA XPG CYBERCORE",209.99,"ATX","platinum",1300,"Full","Black / Silver"
"Silverstone Essential",94.39,"ATX","gold",750,"false","Black / Yellow"
"SeaSonic VERTEX PX-750",179.99,"ATX","platinum",750,"Full","Black / Silver"
"EVGA SuperNOVA G FTW",114.99,"ATX","gold",850,"Full","Black"
"Antec EARTHWATTS GOLD PRO 750",172.8,"ATX","gold",750,"Semi","Black"
"ADATA XPG CYBERCORE II",209.99,"ATX","platinum",1000,"Full","Black"
"Antec High Current Gamer",155.31,"ATX","bronze",620,"Semi",""
"Fractal Design Ion Gold",142.27,"ATX","gold",650,"Full","Black"
"Silverstone Strider",98.8,"ATX","bronze",700,"Full",""
"KOLINK Regulator",149.99,"ATX","gold",1000,"Full","Black"
"Super Flower Leadex V Platinum Pro",169.99,"ATX","platinum",850,"Full","White"
"EVGA 500 BA",64.69,"ATX","bronze",500,"false","Black"
"PC Power & Cooling PM0600",115.73,"ATX","bronze",600,"Semi","Black / Red"
"Corsair HX1000",479.99,"ATX","plus",1000,"Semi",""
"SeaSonic PRIME Ultra Gold 850",129.99,"ATX","gold",850,"Full","Black"
"Silverstone Essential",91.23,"ATX","gold",750,"Semi","Black / Blue"
"be quiet! TFX Power 3 300",115.94,"TFX","gold",300,"false","Black"
"Silverstone Strider Platinum",211.32,"ATX","platinum",850,"Full",""
"Enermax PlatiGemini",249.99,"ATX","platinum",1200,"Full","Black"
"Silverstone ST75F-GS-V3",98.5,"ATX","gold",750,"Full","Black"
"Xilence XP550R9",134,"ATX","gold",550,"false","Black / Red"
"Xilence XP850MR9",139.01,"ATX","gold",850,"Semi","Black / Red"
"Thermaltake Toughpower PF1 - TT Premium Edition",224.99,"ATX","platinum",750,"Full","Black"
"Silverstone Strider",276.45,"ATX","silver",1500,"false",""
"Corsair VS400",369,"ATX","plus",400,"false",""
"SeaSonic PRIME Ultra Platinum 750",169.99,"ATX","platinum",750,"Full","Black"
"SeaSonic SS-300TFX Bronze",62.9,"TFX","bronze",300,"false",""
"FSP Group Hydro PTM PRO",179.99,"ATX","platinum",1000,"Full","Black"
"KOLINK Regulator",169.99,"ATX","gold",1200,"Full","Black"
"Chieftec Polaris",233.85,"ATX","gold",550,"Full","Black"
"EVGA 700 B1",217.49,"ATX","bronze",700,"false",""
"Silverstone Strider Titanium",187.18,"ATX","titanium",700,"Full",""
"Thermaltake Toughpower GF2 ARGB",144.99,"ATX","gold",750,"Full","Black"
"Silverstone Essential",119.99,"ATX","gold",650,"false","Black"
"ADATA XPG CYBERCORE",189.99,"ATX","platinum",1000,"Full","Black / Silver"
"YEYIAN Raiden RGB",69.98,"ATX","bronze",650,"false","Black"
"Phanteks Revolt Pro",380,"ATX","gold",850,"Full","Silver / Black"
"Super Flower Leadex V Pro",174.99,"ATX","gold",1000,"Full","White"
"Super Flower Leadex VI Platinum PRO",179.99,"ATX","platinum",850,"Full","Black / Blue"
"Silverstone ST85F-GS-V2",128.46,"ATX","gold",850,"Full",""
"Antec Earthwatts Green",108.11,"ATX","plus",500,"false",""
"Fractal Design Anode Bronze",131.87,"ATX","bronze",750,"Semi","Black"
"FSP Group FSP500-50FSPT",198.99,"Flex ATX","platinum",500,"false",""
"In Win P75",129.94,"ATX","gold",750,"Full","Black"
"Thermaltake Toughpower GF1 - TT Premium",201.99,"ATX","gold",1200,"Full","Black"
"Silverstone TX300",82.22,"TFX","bronze",300,"false","Black"
"Sparkle ATX-350PN-B204",57.99,"ATX","",350,"false",""
"RAIJINTEK CRATOS",94.9,"ATX","gold",850,"Full","Black"
"EVGA SuperNOVA 750 PQ",218.49,"ATX","platinum",750,"Semi","Black"
"Rosewill VALENS-600",140,"ATX","gold",600,"false",""
"SeaSonic SSP-300TBS",73.09,"TFX","bronze",300,"false","Silver"
"In Win P85",159.65,"ATX","gold",850,"Full","Black"
"In Win P65",121.35,"ATX","gold",650,"Full","Black"
"Enermax Platimax D.F.",150.99,"ATX","platinum",1050,"Full","Black"
"In Win P130II",232.75,"ATX","platinum",1300,"Full","Black"
"Enermax Revolution D.F. X",249.99,"ATX","gold",1350,"Full","Black"
"PC Power & Cooling Silencer",196.42,"ATX","platinum",1050,"Full",""
"Thermaltake Toughpower iRGB PLUS 750",210.65,"ATX","gold",750,"Full","Black"
"Silverstone Essential",88.98,"ATX","gold",550,"Semi","Black"
"Super Flower Leadex V Platinum Pro",189.99,"ATX","platinum",1000,"Full","White"
"SHARKOON SilentStorm",91.83,"SFX","bronze",450,"false","Black"
"Athena Power AP-MFATX40P8",118.02,"Flex ATX","bronze",400,"false",""
"Corsair AX650",250,"ATX","gold",650,"Full",""
"FSP Group Hydro PTM PRO",159.99,"ATX","platinum",850,"Full","Black"
"Super Flower LEADEX VII Platinum PRO",169.99,"ATX","platinum",850,"Full","Black"
"Silverstone Strider Platinum",135.99,"ATX","platinum",750,"Full",""
"Thermaltake Toughpower GF2 ARGB",123.1,"ATX","gold",650,"Full","Black"
"Thermaltake Toughpower PF1 - TT Premium Edition",304.45,"ATX","platinum",1050,"Full","Black"
"In Win P105II",183.36,"ATX","platinum",1050,"Full","Black"
"Antec Basiq",88.34,"ATX","",350,"false",""
"Corsair TX750 V2",320,"ATX","bronze",750,"false",""
"Thermaltake Toughpower iRGB PLUS 850",285,"ATX","gold",850,"Full","Black"
"Rosewill PMG750",114.99,"ATX","gold",750,"Full","Black"
"Thermaltake TOUGHPOWER PF1 ARGB",299.99,"ATX","platinum",850,"Full",""
"Enermax Revolution D.F. 12",139.99,"ATX","gold",850,"Full","Black"
"Silverstone Strider Platinum",139.99,"ATX","platinum",650,"Full",""
"SeaSonic PRIME Ultra Platinum 850",359.99,"ATX","platinum",850,"Full","Black"
"Chieftec ATMOS",208.7,"ATX","gold",850,"Full","Black"
"FSP Group Hydro PTM PRO",149.99,"ATX","platinum",750,"Full","Black"
"FSP Group Hydro GE",94.99,"ATX","gold",650,"Full","Black"
"EVGA SuperNOVA 850 GA",350,"ATX","gold",850,"Full",""
"Rosewill Green",170,"ATX","plus",530,"false",""
"Kingwin ABT-1050MM",89.99,"ATX","",1050,"false",""
"SeaSonic SS-400ET Bronze",98,"ATX","bronze",400,"false",""
"Super Flower Leadex III ARGB Pro",164.99,"ATX","gold",650,"Full","Black"
"Rosewill Green",80,"ATX","plus",430,"false",""
"In Win PB",150,"ATX","gold",750,"Full",""
"Thermaltake Toughpower",383.92,"ATX","gold",1500,"Semi",""
"In Win IP-S300FF1-0",57.01,"TFX","plus",300,"false",""
"Super Flower Leadex III ARGB Pro",189.99,"ATX","gold",750,"Full","Black"
"Super Flower Leadex Gold",299.99,"ATX","gold",1300,"Full",""
"Enermax MaxTytan",369.99,"ATX","titanium",1050,"Full",""
"Antec True Power",230.81,"ATX","bronze",850,"Full",""
"Fractal Design Anode Bronze",145.49,"ATX","bronze",550,"Semi","Black"
"Antec Earthwatts",124.98,"ATX","bronze",500,"false",""
"Sparkle ATX-300PA",189.99,"ATX","",300,"false",""
"Enermax Revolution D.F. 12",129.99,"ATX","gold",750,"Full","Black"
"Antec Earthwatts Green",104.64,"ATX","bronze",430,"false",""
"Chieftec Polaris 3.0",176.68,"ATX","gold",850,"Full","Black"
"StarTech ATX2POWER350",150,"ATX","",350,"false",""
"iStarUSA TC-1200PD8G",311.99,"ATX","",1200,"Full","Gray"
"Athena Power AP-MFATX50P8",179.99,"Flex ATX","silver",500,"false",""
"SeaSonic SS-600ES",100.26,"ATX","bronze",600,"false","Gray"
"Chieftec Polaris 3.0",216.85,"ATX","gold",1050,"Full","Black"
"SeaSonic SS-850HT Silver",169,"ATX","silver",850,"false",""
"PC Power & Cooling Silencer",298.98,"ATX","platinum",1200,"Full",""
"FSP Group FSP300-60LG-5K",148.02,"Flex ATX","bronze",300,"false",""
"Thermaltake EVO_Blue",114.99,"ATX","gold",650,"Semi",""
"Corsair TX750 V2",320,"ATX","bronze",750,"false",""
"SeaSonic Platinum",134.69,"ATX","bronze",600,"false",""
